CustomerID,MonthlyCharges,Contract_One year,Contract_Two year,ChurnProbability,PredictedChurn,Contract,RiskCategory,RetentionStrategy
2754-XBHTB,77.6500015258789,0,0,0.8930029267846135,1,Month-to-month,High Risk,Offer contract upgrade discount
5975-BAICR,63.70000076293945,1,0,0.027472023305234367,0,One year,Low Risk,Standard retention monitoring
3301-VKTGC,85.5,1,0,0.09588161248390001,0,One year,Low Risk,Standard retention monitoring
2877-VDUER,40.900001525878906,1,0,0.05445800697784018,0,One year,Low Risk,Standard retention monitoring
7717-BICXI,20.549999237060547,0,1,0.0022682075905661307,0,Two year,Low Risk,Standard retention monitoring
0562-FGDCR,74.55000305175781,0,1,0.003310476926327781,0,Two year,Low Risk,Standard retention monitoring
3705-PSNGL,20.399999618530277,1,0,0.03495433857151129,0,One year,Low Risk,Standard retention monitoring
0048-LUMLS,110.5,1,0,0.36088036944163016,0,One year,Low Risk,Standard retention monitoring
6497-TILVL,50.70000076293945,0,0,0.22448140518168222,0,Month-to-month,Low Risk,Standard retention monitoring
2108-YKQTY,50.70000076293945,0,0,0.446686388065119,0,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
3658-KIBGF,54.900001525878906,0,0,0.41619977718541645,0,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
0666-UXTJO,74.44999694824219,0,0,0.7684635698628398,1,Month-to-month,High Risk,Offer contract upgrade discount
7410-KTVFV,49.54999923706055,0,0,0.344690816007386,0,Month-to-month,Low Risk,Standard retention monitoring
9033-EOXWV,74.05000305175781,1,0,0.22736914713483378,0,One year,Low Risk,Standard retention monitoring
8821-XNHVZ,80.05000305175781,0,0,0.6488402343833576,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
8224-KDLKN,25.0,0,1,0.003632722242029918,0,Two year,Low Risk,Standard retention monitoring
4825-FUREZ,20.25,0,1,0.014511988374025061,0,Two year,Low Risk,Standard retention monitoring
7534-BFESC,76.0999984741211,0,0,0.7259692267440278,1,Month-to-month,High Risk,Offer contract upgrade discount
9138-EFSMO,78.94999694824219,1,0,0.48855018898841374,0,One year,Medium Risk,Send customer engagement campaign
4227-OJHAL,73.0,1,0,0.008953337297725345,0,One year,Low Risk,Standard retention monitoring
7279-NMVJC,19.899999618530277,1,0,0.20557687638513175,0,One year,Low Risk,Standard retention monitoring
8591-TKMZH,111.0999984741211,0,1,0.034001385465040515,0,Two year,Low Risk,Standard retention monitoring
9283-LZQOH,74.4000015258789,0,0,0.4969917448081614,0,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
3594-IVHJZ,20.450000762939453,0,0,0.3942885256070662,0,Month-to-month,Low Risk,Standard retention monitoring
1945-XISKS,19.649999618530277,0,1,0.002536453701216278,0,Two year,Low Risk,Standard retention monitoring
4359-INNWN,20.049999237060547,1,0,0.0775872572250822,0,One year,Low Risk,Standard retention monitoring
7649-SIJJF,80.0999984741211,0,1,0.005405560247944642,0,Two year,Low Risk,Standard retention monitoring
9254-RBFON,98.5999984741211,1,0,0.36386092429409156,0,One year,Low Risk,Standard retention monitoring
0970-ETWGE,89.55000305175781,0,0,0.8802344094079165,1,Month-to-month,High Risk,Offer contract upgrade discount
7762-ONLJY,19.700000762939453,1,0,0.06853679919608875,0,One year,Low Risk,Standard retention monitoring
6710-HSJRD,114.0999984741211,0,0,0.5583128199728493,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
8873-GLDMH,73.8499984741211,0,0,0.7557923088209869,1,Month-to-month,High Risk,Offer contract upgrade discount
9907-SWKKF,25.049999237060547,0,0,0.6886908253391937,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
4658-HCOHW,102.8000030517578,0,0,0.3342856188240838,0,Month-to-month,Low Risk,Standard retention monitoring
9330-VOFSZ,110.8000030517578,0,1,0.0774649072605125,0,Two year,Low Risk,Standard retention monitoring
2860-RANUS,85.80000305175781,0,0,0.6922490828968426,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
6234-PFPXL,95.9000015258789,0,0,0.3294644202482044,0,Month-to-month,Low Risk,Standard retention monitoring
7205-BAIAD,20.600000381469727,0,1,0.03957641466501955,0,Two year,Low Risk,Standard retention monitoring
3858-VOBET,74.94999694824219,0,0,0.7705681333288604,1,Month-to-month,High Risk,Offer contract upgrade discount
5103-MHMHY,45.95000076293945,0,0,0.5297145865166891,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
6119-SPUDB,38.25,0,1,0.010073423101295687,0,Two year,Low Risk,Standard retention monitoring
9389-ACWBI,69.94999694824219,0,0,0.551789543289508,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
3454-JFUBC,20.0,0,1,0.0023335202084346996,0,Two year,Low Risk,Standard retention monitoring
1768-ZAIFU,25.200000762939453,0,0,0.774742520881689,1,Month-to-month,High Risk,Offer contract upgrade discount
7017-VFULY,20.100000381469727,0,0,0.554550841818698,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
9221-OTIVJ,104.8499984741211,0,0,0.7024140089219438,1,Month-to-month,High Risk,Offer contract upgrade discount
2482-CZGBB,70.0,0,0,0.8238409161579532,1,Month-to-month,High Risk,Offer contract upgrade discount
7018-WBJNK,78.30000305175781,0,0,0.5977739941145964,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
3331-HQDTW,109.8000030517578,0,0,0.4089019834436447,0,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
4695-VADHF,57.45000076293945,0,0,0.3361457245155388,0,Month-to-month,Low Risk,Standard retention monitoring
4086-WITJG,19.700000762939453,0,1,0.0009777680960704673,0,Two year,Low Risk,Standard retention monitoring
6297-NOOPG,110.5,0,1,0.12074985610249055,0,Two year,Low Risk,Standard retention monitoring
8777-PVYGU,64.30000305175781,1,0,0.035889983319940845,0,One year,Low Risk,Standard retention monitoring
4378-MYPGO,105.25,0,1,0.09411258905871919,0,Two year,Low Risk,Standard retention monitoring
9313-CDOGY,19.600000381469727,0,0,0.05606987785139036,0,Month-to-month,Low Risk,Standard retention monitoring
4121-AGSIN,24.5,1,0,0.0049985607109669416,0,One year,Low Risk,Standard retention monitoring
0432-CAJZV,90.6999969482422,0,0,0.8263580589627628,1,Month-to-month,High Risk,Offer contract upgrade discount
9097-ZUBYC,48.79999923706055,0,0,0.5077010049383505,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
9638-JIQYA,24.899999618530277,0,0,0.6968115748119666,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
1024-GUALD,24.799999237060547,0,0,0.7590918205416353,1,Month-to-month,High Risk,Offer contract upgrade discount
8024-XNAFQ,107.4000015258789,0,1,0.09219188883844576,0,Two year,Low Risk,Standard retention monitoring
7587-RZNME,43.29999923706055,0,0,0.7009285506727964,1,Month-to-month,High Risk,Offer contract upgrade discount
1346-UFHAX,80.0,0,0,0.5249399236835675,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
6374-NTQLP,104.0999984741211,0,1,0.018806541373525325,0,Two year,Low Risk,Standard retention monitoring
6625-FLENO,20.75,0,1,0.004372554729033414,0,Two year,Low Risk,Standard retention monitoring
7375-WMVMT,95.5,0,1,0.030156507634498845,0,Two year,Low Risk,Standard retention monitoring
6910-HADCM,76.3499984741211,0,0,0.8209975734524234,1,Month-to-month,High Risk,Offer contract upgrade discount
7401-JIXNM,91.3000030517578,0,1,0.0065903605452661326,0,Two year,Low Risk,Standard retention monitoring
7338-ERIVA,45.04999923706055,1,0,0.07706318883264458,0,One year,Low Risk,Standard retention monitoring
5376-DEQCP,70.5999984741211,0,0,0.857406208321738,1,Month-to-month,High Risk,Offer contract upgrade discount
0909-SELIE,80.80000305175781,0,1,0.019190075202425407,0,Two year,Low Risk,Standard retention monitoring
5419-KLXBN,89.1500015258789,0,0,0.5775772112536128,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
0365-TRTPY,91.1999969482422,0,0,0.5345453507291098,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
6712-OAWRH,91.25,0,0,0.8078243159505625,1,Month-to-month,High Risk,Offer contract upgrade discount
2428-ZMCTB,19.75,0,0,0.2575773748324774,0,Month-to-month,Low Risk,Standard retention monitoring
1963-VAUKV,20.399999618530277,0,0,0.4011215079901274,0,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
9381-NDKME,40.650001525878906,0,0,0.3259581222456315,0,Month-to-month,Low Risk,Standard retention monitoring
3729-OWRVL,110.3499984741211,0,1,0.10437434305167652,0,Two year,Low Risk,Standard retention monitoring
0895-LMRSF,64.9000015258789,1,0,0.5381368118359043,1,One year,Medium Risk,Send customer engagement campaign
2676-SSLTO,66.1500015258789,0,1,0.10803034973196529,0,Two year,Low Risk,Standard retention monitoring
8495-PRWFH,55.650001525878906,0,0,0.30167187489223013,0,Month-to-month,Low Risk,Standard retention monitoring
9030-QGZNL,20.850000381469727,0,1,0.07477430885226727,0,Two year,Low Risk,Standard retention monitoring
9972-NKTFD,54.650001525878906,0,0,0.35167358302368523,0,Month-to-month,Low Risk,Standard retention monitoring
7998-WNZEM,80.5999984741211,0,1,0.020633980004199245,0,Two year,Low Risk,Standard retention monitoring
0979-PHULV,99.4499969482422,0,0,0.38889981546241825,0,Month-to-month,Low Risk,Standard retention monitoring
6445-TNRXS,114.6999969482422,0,1,0.0666380008170071,0,Two year,Low Risk,Standard retention monitoring
6304-IJFSQ,20.049999237060547,0,0,0.3883742340652644,0,Month-to-month,Low Risk,Standard retention monitoring
3966-HRMZA,75.05000305175781,0,0,0.6759719741162827,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
5498-IBWPI,49.400001525878906,1,0,0.010062278355603527,0,One year,Low Risk,Standard retention monitoring
6823-SIDFQ,18.25,1,0,0.0406784850004991,0,One year,Low Risk,Standard retention monitoring
2323-ARSVR,111.0500030517578,0,1,0.05669525005882728,0,Two year,Low Risk,Standard retention monitoring
5468-BPMMO,19.600000381469727,0,0,0.06154218107125993,0,Month-to-month,Low Risk,Standard retention monitoring
0486-HECZI,96.75,0,0,0.3814399075024443,0,Month-to-month,Low Risk,Standard retention monitoring
2178-PMGCJ,69.69999694824219,0,0,0.6758853294705419,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
4660-IRIBM,87.9000015258789,0,0,0.27459175941468705,0,Month-to-month,Low Risk,Standard retention monitoring
9674-EHPPG,40.400001525878906,0,1,0.007526251430709438,0,Two year,Low Risk,Standard retention monitoring
5606-AMZBO,78.1500015258789,0,0,0.4385905033769484,0,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
0665-XHDJU,99.4000015258789,0,1,0.1943239526058733,0,Two year,Low Risk,Standard retention monitoring
5402-HTOTQ,55.29999923706055,0,0,0.4909947228941479,0,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
8258-GSTJK,77.0,0,0,0.8316797571645742,1,Month-to-month,High Risk,Offer contract upgrade discount
3787-TRIAL,26.049999237060547,0,0,0.4274866014081964,0,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
6175-IRFIT,78.75,0,0,0.79523513792327,1,Month-to-month,High Risk,Offer contract upgrade discount
6317-YPKDH,29.950000762939453,0,0,0.8120178468327321,1,Month-to-month,High Risk,Offer contract upgrade discount
5692-FPTAH,45.400001525878906,0,0,0.6547489977709836,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
5373-SFODM,85.25,0,0,0.5485793193132215,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
0868-VJRDR,104.0500030517578,0,1,0.03327956969433898,0,Two year,Low Risk,Standard retention monitoring
4079-VTGLK,74.8499984741211,0,1,0.11088576783149541,0,Two year,Low Risk,Standard retention monitoring
1166-PQLGG,19.549999237060547,0,1,0.00309546258775423,0,Two year,Low Risk,Standard retention monitoring
5296-BFCYD,20.100000381469727,0,1,0.004720809481453932,0,Two year,Low Risk,Standard retention monitoring
6568-POCUI,95.1999969482422,0,1,0.1275125487523159,0,Two year,Low Risk,Standard retention monitoring
2839-RFSQE,20.649999618530277,0,0,0.39124629611955986,0,Month-to-month,Low Risk,Standard retention monitoring
2188-SXWVT,55.0,1,0,0.04919765367609562,0,One year,Low Risk,Standard retention monitoring
8849-GYOKR,106.5500030517578,1,0,0.37429600284207176,0,One year,Low Risk,Standard retention monitoring
3623-FQBOX,19.950000762939453,0,0,0.18898924242634904,0,Month-to-month,Low Risk,Standard retention monitoring
2649-HWLYB,76.1500015258789,0,1,0.026515790304873898,0,Two year,Low Risk,Standard retention monitoring
0599-XNYDO,69.80000305175781,0,0,0.830252573569991,1,Month-to-month,High Risk,Offer contract upgrade discount
2514-GINMM,79.5,0,0,0.8615830596550235,1,Month-to-month,High Risk,Offer contract upgrade discount
8401-EMUWF,69.4000015258789,0,0,0.17142859827016618,0,Month-to-month,Low Risk,Standard retention monitoring
5766-ZJYBB,19.399999618530277,0,0,0.3880180020914068,0,Month-to-month,Low Risk,Standard retention monitoring
2604-IJPDU,96.5500030517578,0,0,0.3356541855690231,0,Month-to-month,Low Risk,Standard retention monitoring
3716-UVSPD,70.19999694824219,0,0,0.8139127979701907,1,Month-to-month,High Risk,Offer contract upgrade discount
6370-ZVHDV,25.299999237060547,0,1,0.01132060655701915,0,Two year,Low Risk,Standard retention monitoring
3027-YNWZU,25.0,0,1,0.0030202501057893325,0,Two year,Low Risk,Standard retention monitoring
4526-ZJJTM,88.4000015258789,0,0,0.6419785898060486,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
0440-QEXBZ,50.150001525878906,0,0,0.26787399631502073,0,Month-to-month,Low Risk,Standard retention monitoring
0330-IVZHA,69.94999694824219,0,0,0.7886956734801731,1,Month-to-month,High Risk,Offer contract upgrade discount
9758-MFWGD,29.899999618530277,1,0,0.051382482400697295,0,One year,Low Risk,Standard retention monitoring
4229-CZMLL,74.9000015258789,0,0,0.8386333906920468,1,Month-to-month,High Risk,Offer contract upgrade discount
0742-MOABM,50.04999923706055,0,0,0.3750438614553516,0,Month-to-month,Low Risk,Standard retention monitoring
4277-BWBML,19.950000762939453,0,1,0.002937814095009932,0,Two year,Low Risk,Standard retention monitoring
5136-GFPMB,89.4000015258789,0,0,0.5299074199331568,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
7520-HQWJU,67.44999694824219,0,0,0.07148914423763568,0,Month-to-month,Low Risk,Standard retention monitoring
4501-VCPFK,75.75,0,0,0.8277642249499731,1,Month-to-month,High Risk,Offer contract upgrade discount
0297-RBCSG,65.3499984741211,1,0,0.26161120643641883,0,One year,Low Risk,Standard retention monitoring
6013-BHCAW,81.0,0,1,0.05045942160032012,0,Two year,Low Risk,Standard retention monitoring
4402-FTBXC,89.80000305175781,0,0,0.3314563437890116,0,Month-to-month,Low Risk,Standard retention monitoring
4807-IZYOZ,84.94999694824219,0,1,0.016592735427206674,0,Two year,Low Risk,Standard retention monitoring
4283-FUTGF,79.8499984741211,0,0,0.6909441902266584,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
9548-LERKT,19.75,0,1,0.023871549015525295,0,Two year,Low Risk,Standard retention monitoring
8059-UDZFY,105.3499984741211,0,0,0.6704734866941117,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
0410-IPFTY,83.8499984741211,0,0,0.7368335002369132,1,Month-to-month,High Risk,Offer contract upgrade discount
2478-EEWWM,44.29999923706055,0,0,0.2851712597042582,0,Month-to-month,Low Risk,Standard retention monitoring
4619-EVPHY,91.0,1,0,0.6820901431419183,1,One year,Medium Risk,Offer targeted discount
2277-DJJDL,99.0,0,0,0.5150695978336829,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
2911-WDXMV,80.55000305175781,0,0,0.5008810313173384,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
3639-XJHKQ,60.59999847412109,0,0,0.16603265127054345,0,Month-to-month,Low Risk,Standard retention monitoring
8173-RXAYP,19.700000762939453,0,1,0.013889907876367761,0,Two year,Low Risk,Standard retention monitoring
4537-CIBHB,20.25,1,0,0.06156192459799444,0,One year,Low Risk,Standard retention monitoring
5442-BXVND,24.25,0,0,0.13044175314271272,0,Month-to-month,Low Risk,Standard retention monitoring
2308-STERM,19.399999618530277,0,0,0.3814300547221256,0,Month-to-month,Low Risk,Standard retention monitoring
7159-NOKYQ,93.1500015258789,0,1,0.11634220177431094,0,Two year,Low Risk,Standard retention monitoring
6075-QMNRR,49.75,0,0,0.23783762890325097,0,Month-to-month,Low Risk,Standard retention monitoring
3694-GLTJM,19.649999618530277,0,0,0.31135196781702024,0,Month-to-month,Low Risk,Standard retention monitoring
9629-NHXFW,19.399999618530277,0,0,0.219715308324017,0,Month-to-month,Low Risk,Standard retention monitoring
7167-PCEYD,19.799999237060547,0,1,0.003467131386552854,0,Two year,Low Risk,Standard retention monitoring
2748-MYRVK,99.9000015258789,1,0,0.5356998984642842,1,One year,Medium Risk,Offer targeted discount
4223-WOZCM,49.95000076293945,0,0,0.5102303211896074,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
6946-LMSQS,89.05000305175781,1,0,0.2718492842672238,0,One year,Low Risk,Standard retention monitoring
5469-NUJUR,19.950000762939453,0,1,0.042064096383606,0,Two year,Low Risk,Standard retention monitoring
6388-TABGU,56.150001525878906,1,0,0.032736384767572006,0,One year,Low Risk,Standard retention monitoring
1261-FWTTE,34.650001525878906,0,0,0.7177276081156662,1,Month-to-month,High Risk,Offer contract upgrade discount
8590-YFFQO,64.94999694824219,0,1,0.0024004249808242182,0,Two year,Low Risk,Standard retention monitoring
0082-OQIQY,94.1999969482422,0,0,0.6917160154931721,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
9465-RWMXL,78.9000015258789,0,0,0.5912121212676017,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
2930-UOTMB,65.25,0,0,0.09606490110239944,0,Month-to-month,Low Risk,Standard retention monitoring
9128-CPXKI,95.8000030517578,0,1,0.30361402319331854,0,Two year,Low Risk,Standard retention monitoring
0484-FFVBJ,64.8499984741211,1,0,0.4595497026028319,0,One year,Medium Risk,Send customer engagement campaign
1100-DDVRV,49.79999923706055,0,0,0.46168520710707744,0,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
9313-QOLTZ,20.899999618530277,0,0,0.15626289924091785,0,Month-to-month,Low Risk,Standard retention monitoring
3338-CVVEH,94.5500030517578,0,0,0.8628758626461835,1,Month-to-month,High Risk,Offer contract upgrade discount
1131-SUEKT,98.4499969482422,1,0,0.2144765693318444,0,One year,Low Risk,Standard retention monitoring
7602-DBTOU,19.600000381469727,0,1,0.002053634834996671,0,Two year,Low Risk,Standard retention monitoring
1385-TQOZW,20.450000762939453,0,0,0.27371342611631133,0,Month-to-month,Low Risk,Standard retention monitoring
6892-XPFPU,104.25,0,0,0.5866970713539211,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
4115-NZRKS,89.1500015258789,0,0,0.8322193462465676,1,Month-to-month,High Risk,Offer contract upgrade discount
5514-YQENT,111.1500015258789,0,1,0.055256492459856504,0,Two year,Low Risk,Standard retention monitoring
6319-IEJWJ,90.1999969482422,0,0,0.7035429993623806,1,Month-to-month,High Risk,Offer contract upgrade discount
8849-AYPTR,91.25,0,0,0.7725682299323573,1,Month-to-month,High Risk,Offer contract upgrade discount
5893-PYOLZ,81.80000305175781,0,1,0.02514741223002206,0,Two year,Low Risk,Standard retention monitoring
7180-PISOG,74.5,0,0,0.711707036313415,1,Month-to-month,High Risk,Offer contract upgrade discount
8443-ZRDBZ,76.05000305175781,0,0,0.853151549121161,1,Month-to-month,High Risk,Offer contract upgrade discount
9079-YEXQJ,111.0999984741211,0,0,0.5545951809019916,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
3780-YVMFA,68.55000305175781,0,0,0.3801096004251185,0,Month-to-month,Low Risk,Standard retention monitoring
6968-MHOMU,45.0,1,0,0.08048342955711343,0,One year,Low Risk,Standard retention monitoring
0899-LIIBW,100.8499984741211,0,0,0.7563224055608422,1,Month-to-month,High Risk,Offer contract upgrade discount
3677-IYRBF,30.399999618530277,0,0,0.7163309716300027,1,Month-to-month,High Risk,Offer contract upgrade discount
8393-DLHGA,95.9000015258789,0,0,0.6655166089106951,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
7691-XVTZH,89.94999694824219,0,1,0.24057993526873556,0,Two year,Low Risk,Standard retention monitoring
5360-LJCNJ,105.1500015258789,0,1,0.28745088110985495,0,Two year,Low Risk,Standard retention monitoring
3891-PUQOD,59.20000076293945,0,0,0.5762811466375686,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
0952-KMEEH,98.1500015258789,0,0,0.6184306221113411,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
4919-IKATY,84.5,0,0,0.43380588281522325,0,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
9746-UGFAC,20.850000381469727,1,0,0.1754238316308436,0,One year,Low Risk,Standard retention monitoring
9108-EQPNQ,26.100000381469727,0,1,0.0269442427916514,0,Two year,Low Risk,Standard retention monitoring
0531-ZZJWQ,74.0,0,0,0.45355473971543964,0,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
8763-KIAFH,20.549999237060547,1,0,0.026500658506756005,0,One year,Low Risk,Standard retention monitoring
5863-OOKCL,18.850000381469727,0,0,0.2731397941352427,0,Month-to-month,Low Risk,Standard retention monitoring
